date,V80691344
6/2/10,0.5
6/9/10,0.54
6/16/10,0.53
6/23/10,0.54
6/30/10,0.5
7/7/10,0.5
7/14/10,0.54
7/21/10,0.61
7/28/10,0.65
8/4/10,0.68
8/11/10,0.67
8/18/10,0.67
8/25/10,0.62
9/1/10,0.7
9/8/10,0.87
9/15/10,0.91
9/22/10,0.9
9/29/10,0.87
10/6/10,0.87
10/13/10,0.9
10/20/10,0.89
10/27/10,0.92
11/3/10,0.92
11/10/10,0.95
11/17/10,0.95
11/24/10,0.99
12/1/10,1.01
12/8/10,1.01
12/15/10,0.98
12/22/10,0.99
12/29/10,0.98
1/5/11,0.98
1/12/11,0.95
1/19/11,0.97
1/26/11,0.95
2/2/11,0.94
2/9/11,0.96
2/16/11,0.96
2/23/11,0.95
3/2/11,0.95
3/9/11,0.95
3/16/11,0.9
3/23/11,0.91
3/30/11,0.92
4/6/11,0.97
4/13/11,0.95
4/20/11,0.97
4/27/11,0.97
5/4/11,0.96
5/11/11,0.98
5/18/11,0.96
5/25/11,0.95
6/1/11,0.95
6/8/11,0.94
6/15/11,0.94
6/22/11,0.88
6/29/11,0.93
7/6/11,0.93
7/13/11,0.92
7/20/11,0.92
7/27/11,0.92
8/3/11,0.91
8/10/11,0.79
8/17/11,0.85
8/24/11,0.89
8/31/11,0.93
9/7/11,0.92
9/14/11,0.88
9/21/11,0.86
9/28/11,0.83
10/5/11,0.81
10/12/11,0.87
10/19/11,0.88
10/26/11,0.89
11/2/11,0.89
11/9/11,0.89
11/16/11,0.89
11/23/11,0.88
11/30/11,0.86
12/7/11,0.84
12/14/11,0.82
12/21/11,0.83
12/28/11,0.83
1/4/12,0.82
1/11/12,0.79
1/18/12,0.83
1/25/12,0.86
2/1/12,0.89
2/8/12,0.89
2/15/12,0.94
2/22/12,0.94
2/29/12,0.93
3/7/12,0.91
3/14/12,0.93
3/21/12,0.9
3/28/12,0.92
4/4/12,0.94
4/11/12,0.95
4/18/12,0.98
4/25/12,1.06
5/2/12,1.03
5/9/12,0.99
5/16/12,1
5/23/12,0.98
5/30/12,0.94
6/6/12,0.88
6/13/12,0.89
6/20/12,0.9
6/27/12,0.86
7/4/12,0.87
7/11/12,0.86
7/18/12,0.9
7/25/12,0.92
8/1/12,0.98
8/8/12,0.98
8/15/12,1.02
8/22/12,1
8/29/12,1.03
9/5/12,1.02
9/12/12,1.03
9/19/12,0.99
9/26/12,0.99
10/3/12,0.96
10/10/12,0.98
10/17/12,0.96
10/24/12,0.99
10/31/12,0.99
11/7/12,0.98
11/14/12,0.98
11/21/12,0.97
11/28/12,0.95
12/5/12,0.95
12/12/12,0.96
12/19/12,0.95
12/26/12,0.92
1/2/13,0.92
1/9/13,0.91
1/16/13,0.92
1/23/13,0.92
1/30/13,0.93
2/6/13,0.94
2/13/13,0.94
2/20/13,0.95
2/27/13,0.96
3/6/13,0.95
3/13/13,0.96
3/20/13,0.97
3/27/13,0.97
4/3/13,0.98
4/10/13,0.98
4/17/13,0.98
4/24/13,0.99
5/1/13,0.99
5/8/13,0.99
5/15/13,1
5/22/13,1
5/29/13,1.01
6/5/13,1.02
6/12/13,1.02
6/19/13,1.03
6/26/13,1.03
7/3/13,1.03
7/10/13,1.02
7/17/13,1.01
7/24/13,1
7/31/13,1
8/7/13,0.99
8/14/13,1
8/21/13,0.99
8/28/13,0.99
9/4/13,0.99
9/11/13,0.99
9/18/13,0.99
9/25/13,0.98
10/2/13,0.97
10/9/13,0.92
10/16/13,0.92
10/23/13,0.91
10/30/13,0.9
11/6/13,0.9
11/13/13,0.92
11/20/13,0.94
11/27/13,0.94
12/4/13,0.93
12/11/13,0.93
12/18/13,0.9
12/25/13,0.91
1/1/14,0.91
1/8/14,0.88
1/15/14,0.89
1/22/14,0.9
1/29/14,0.89
2/5/14,0.88
2/12/14,0.88
2/19/14,0.87
2/26/14,0.85
3/5/14,0.82
3/12/14,0.82
3/19/14,0.84
3/26/14,0.89
4/2/14,0.92
4/9/14,0.9
4/16/14,0.92
4/23/14,0.94
4/30/14,0.95
5/7/14,0.93
5/14/14,0.92
5/21/14,0.92
5/28/14,0.93
6/4/14,0.92
6/11/14,0.93
6/18/14,0.94
6/25/14,0.95
7/2/14,0.94
7/9/14,0.94
7/16/14,0.95
7/23/14,0.95
7/30/14,0.96
8/6/14,0.96
8/13/14,0.96
8/20/14,0.94
8/27/14,0.94
9/3/14,0.93
9/10/14,0.93
9/17/14,0.93
9/24/14,0.92
10/1/14,0.92
10/8/14,0.89
10/15/14,0.89
10/22/14,0.89
10/29/14,0.88
11/5/14,0.9
11/12/14,0.9
11/19/14,0.9
11/26/14,0.91
12/3/14,0.9
12/10/14,0.9
12/17/14,0.9
12/24/14,0.9
12/31/14,0.91
1/7/15,0.92
1/14/15,0.92
1/21/15,0.62
1/28/15,0.6
2/4/15,0.54
2/11/15,0.53
2/18/15,0.5
2/25/15,0.56
3/4/15,0.59
3/11/15,0.55
3/18/15,0.53
3/25/15,0.54
4/1/15,0.56
4/8/15,0.59
4/15/15,0.62
4/22/15,0.66
4/29/15,0.66
5/6/15,0.69
5/13/15,0.65
5/20/15,0.66
5/27/15,0.63
